dotnet watch 🔨 2025-03-29 14:58:32.389 [StartupProfiler] Assembly loaded: System.Collections.Concurrent | Elapsed: 38ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.392 [StartupProfiler] Assembly loaded: Microsoft.Build.Framework | Elapsed: 41ms | Delta: 3ms
dotnet watch 🔨 2025-03-29 14:58:32.393 [StartupProfiler] Assembly loaded: MSBuild | Elapsed: 42ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.393 [StartupProfiler] Assembly loaded: Microsoft.Build | Elapsed: 42ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.394 [StartupProfiler] Assembly loaded: System.Threading.Thread | Elapsed: 43ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.394 [StartupProfiler] Assembly loaded: System.Text.RegularExpressions | Elapsed: 43ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.406 [StartupProfiler] Assembly loaded: System.Collections.NonGeneric | Elapsed: 55ms | Delta: 12ms
dotnet watch 🔨 2025-03-29 14:58:32.409 [StartupProfiler] Assembly loaded: System.Threading.Tasks.Dataflow | Elapsed: 57ms | Delta: 2ms
dotnet watch 🔨 2025-03-29 14:58:32.433 [StartupProfiler] Assembly loaded: System.Xml.ReaderWriter | Elapsed: 81ms | Delta: 24ms
dotnet watch 🔨 2025-03-29 14:58:32.433 [StartupProfiler] Assembly loaded: System.Private.Xml | Elapsed: 81ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.433 [StartupProfiler] Assembly loaded: System.Text.Encoding.Extensions | Elapsed: 82ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.434 [StartupProfiler] Assembly loaded: System.Private.Uri | Elapsed: 82ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.435 [StartupProfiler] Assembly loaded: Microsoft.NET.StringTools | Elapsed: 84ms | Delta: 2ms
dotnet watch 🔨 2025-03-29 14:58:32.440 [StartupProfiler] Assembly loaded: System.Diagnostics.FileVersionInfo | Elapsed: 89ms | Delta: 5ms
dotnet watch 🔨 2025-03-29 14:58:32.441 [StartupProfiler] Assembly loaded: System.Runtime.Loader | Elapsed: 89ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.441 [StartupProfiler] Assembly loaded: System.Reflection.Metadata | Elapsed: 89ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.441 [StartupProfiler] Assembly loaded: System.Collections.Immutable | Elapsed: 90ms | Delta: 1ms
